출발 국가,항공사,출발 공항,도착 공항,도착 국가,도착국가이름,년도,월,운항회수,출발 국가,도착 국가,정원(전체)
KAZ,Air Astana,ALA,BKK,THA,타이,2016,7,22,22,22,3880
KAZ,Air Astana,ALA,BKK,THA,타이,2016,8,22,22,22,3766
KAZ,Air Astana,ALA,BKK,THA,타이,2016,9,22,22,22,3937
KAZ,Air Astana,ALA,BKK,THA,타이,2016,10,22,22,22,4108
KAZ,Air Astana,ALA,BKK,THA,타이,2016,11,21,21,21,4227
KAZ,Air Astana,ALA,BKK,THA,타이,2016,12,25,25,25,5404
KAZ,Air Astana,ALA,BKK,THA,타이,2017,1,25,25,25,5404
KAZ,Air Astana,ALA,BKK,THA,타이,2017,2,19,19,19,3895
KAZ,Air Astana,ALA,BKK,THA,타이,2017,3,22,22,22,4621
KAZ,Air Astana,ALA,BKK,THA,타이,2017,4,22,22,22,4906
KAZ,Air Astana,ALA,BKK,THA,타이,2017,5,21,21,21,4227
KAZ,Air Astana,ALA,BKK,THA,타이,2017,6,22,22,22,3766
KAZ,Air Astana,ALA,BKK,THA,타이,2017,7,22,22,22,3709
KAZ,Air Astana,ALA,BKK,THA,타이,2017,8,22,22,22,4165
KAZ,Air Astana,ALA,BKK,THA,타이,2017,9,22,22,22,3823
KAZ,Air Astana,ALA,BKK,THA,타이,2017,10,21,21,21,4170
KAZ,Air Astana,ALA,BKK,THA,타이,2017,11,20,20,20,3776
KAZ,Air Astana,ALA,BKK,THA,타이,2017,12,31,31,31,6400
KAZ,Air Astana,ALA,BKK,THA,타이,2018,1,32,32,32,6908
KAZ,Air Astana,ALA,BKK,THA,타이,2018,2,28,28,28,5674
KAZ,Air Astana,ALA,BKK,THA,타이,2018,3,31,31,31,6856
KAZ,Air Astana,ALA,BKK,THA,타이,2018,4,29,29,29,6296
KAZ,Air Astana,ALA,BKK,THA,타이,2018,5,22,22,22,3994
KAZ,Air Astana,ALA,DEL,IND,인도,2016,6,30,30,30,4502
KAZ,Air Astana,ALA,DEL,IND,인도,2016,7,31,31,31,4599
KAZ,Air Astana,ALA,DEL,IND,인도,2016,8,31,31,31,4929
KAZ,Air Astana,ALA,DEL,IND,인도,2016,9,30,30,30,4668
KAZ,Air Astana,ALA,DEL,IND,인도,2016,10,31,31,31,3976
KAZ,Air Astana,ALA,DEL,IND,인도,2016,11,30,30,30,4626
KAZ,Air Astana,ALA,DEL,IND,인도,2016,12,31,31,31,4982
KAZ,Air Astana,ALA,DEL,IND,인도,2017,1,31,31,31,5239
KAZ,Air Astana,ALA,DEL,IND,인도,2017,2,28,28,28,4640
KAZ,Air Astana,ALA,DEL,IND,인도,2017,3,30,30,30,5153
KAZ,Air Astana,ALA,DEL,IND,인도,2017,4,30,30,30,5231
KAZ,Air Astana,ALA,DEL,IND,인도,2017,5,31,31,31,5487
KAZ,Air Astana,ALA,DEL,IND,인도,2017,6,30,30,30,5339
